GEOID,COUNTYFP,TRACTCE,AREA,EJ_Community,SFS_Count,FSF_Count,Threat,EPA_FSF_Count,White_PCT,Black_PCT,HISPLA_PCT,Asian_PCT,LOWINCPCT,LINGISOPCT,LESSHSPCT,PRE1960PCT,PM25,OZONE,NO2,RSEI_AIR,PRMP,PWDIS,PTRAF,UST,PTSDF,ALAND,AWATER,CALC_SQ_MI,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LESSHS,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,DSLPM,PNPL,PRE1960,DWATER,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80_SUP,TL_GEO_ID,Total_ACS,White,Black,Asian,HISPLA,Shape_Length,Shape_Area
36103159516,103,159516,36680000.000000000000000,0,0,0,0,0,0.859826825682078,0.085933670968796,0.152426074170887,0.007515111909819,0.255718954248366,0.031098153547133,0.143144148669011,0.243146067415730,6.652984153005460,68.590810000000005,2.409207689169871,6.240878954658805,0.000000000000000,0.000000000000000,272643.302703031280544,0.162710561389213,0.291492924679839,3500217.000000000000000,539633.000000000000000,2372.634185434440042,6121,6120,3982,2058,2225,2917,6121,1.141328444364771,1.727485160083977,1650,0.269563796765234,1565,297,0.101816935207405,771,0.125959810488482,64,570,456,0.074497631106028,672,0.109785982682568,0.230769230769231,0.114306570351356,0.103948107317620,541.000000000000000,0.000000000000000,3500217.000000000000000,539633.000000000000000,0,0,1,0,6121,5263,526,46,933,0.087299530160930,0.000430843983500
36103159517,103,159517,28520000.000000000000000,2,0,0,0,0,0.559201531309817,0.052228602679792,0.358490566037736,0.129614438063987,0.335247470604320,0.115927419354839,0.187127024722933,0.248991935483871,6.770340163934430,68.635170000000002,4.322677745864480,7.015572296142217,0.000000000000000,0.000000000000000,619675.539373553008772,0.777183464749652,0.424551888687153,2641935.000000000000000,0.000000000000000,2372.634185434440042,3657,3657,2346,992,992,1756,3657,1.858946347284159,1.710953077602163,2091,0.571780147662018,1226,23,0.013097949886105,163,0.044572053595844,115,439,547,0.149576155318567,392,0.107191687175280,0.208205128205128,0.137404203903943,0.148039745228870,247.000000000000000,0.000000000000000,2641935.000000000000000,0.000000000000000,0,0,1,0,3657,2045,191,474,1311,0.103374859985851,0.000281875800500
36103159518,103,159518,42920000.000000000000000,0,0,0,0,0,0.639857948610821,0.163150198454147,0.214121579277209,0.056193858366409,0.274387623549635,0.067818298144594,0.249448818897638,0.218130311614731,6.690915573770490,68.617729999999995,3.156469357630011,6.111504575058428,0.000000000000000,0.000000000000000,344143.018067966797389,0.251425050547138,0.312506155937089,3970854.000000000000000,306923.000000000000000,2372.634185434440042,4787,4654,3175,1563,1765,2290,4763,1.522094666421018,1.717870375248554,2242,0.468351786087320,1277,109,0.047598253275109,283,0.059416334243124,106,792,244,0.050971380823062,814,0.170043868811364,0.208205128205128,0.125240052628019,0.103296935012285,385.000000000000000,0.000000000000000,3970854.000000000000000,306923.000000000000000,0,0,1,0,4787,3063,781,269,1025,0.122495930740996,0.000456220401500
36103159602,103,159602,86520000.000000000000000,0,0,0,0,0,0.887879512311738,0.011953143676787,0.049246951948362,0.032273487927325,0.092193486590038,0.000000000000000,0.047083626141954,0.314666666666667,6.632646994535520,68.440439999999995,3.477057998755882,8.864210201610836,0.000000000000000,0.000000000000000,275604.208292841678485,0.000000000000000,0.038893468548512,8387648.000000000000000,829267.000000000000000,2372.634185434440042,4183,4176,2846,1346,1500,2140,4166,0.456927120337270,0.807905934354609,521,0.124551757112120,385,61,0.028504672897196,225,0.054008641382621,0,134,245,0.058570404016256,837,0.200095625149414,0.176410256410256,0.104872288806154,0.106187549504096,472.000000000000000,0.000000000000000,8388282.000000000000000,857312.000000000000000,0,0,0,0,4183,3714,50,135,206,0.221649165498933,0.000986619507000
36103159603,103,159603,13320000.000000000000000,0,0,0,0,0,0.929902395740905,0.000000000000000,0.049689440993789,0.000000000000000,0.097604259094942,0.102857142857143,0.069813176007866,0.174520069808028,6.722737978142080,68.500940000000000,3.154035640618098,7.415632506736658,0.000000000000000,0.000000000000000,401887.505281424731947,0.000000000000000,0.358395631109923,1412786.000000000000000,515036.000000000000000,2372.634185434440042,1127,1127,1017,525,573,354,1127,0.381172943648790,1.311891928619803,79,0.070097604259095,110,4,0.011299435028249,147,0.130434782608696,54,71,25,0.022182786157941,585,0.519077196095830,0.179487179487180,0.112185011364301,0.150443258476435,100.000000000000000,0.000000000000000,1412786.000000000000000,515036.000000000000000,0,0,0,0,1127,1048,0,0,56,0.062814249372054,0.000205701416500
36103159604,103,159604,74680000.000000000000000,0,0,0,0,0,0.918860827512090,0.000000000000000,0.180189862081318,0.022210281210819,0.132625517365485,0.016559829059829,0.065145684442001,0.366197183098592,6.666446174863390,68.516199999999998,3.113261074263760,7.314064652759984,0.000000000000000,0.000000000000000,295556.065841245988850,0.475636887298846,0.214641150265512,7653116.000000000000000,1074156.000000000000000,2372.634185434440042,5583,5557,3638,1872,1917,3037,5578,0.693803446181767,0.989848438012526,1123,0.201146337094752,737,88,0.028975963121501,400,0.071710290426676,31,237,487,0.087229088303779,738,0.132186996238581,0.179487179487180,0.109287012113511,0.123330322687719,702.000000000000000,0.000000000000000,7653116.000000000000000,1074156.000000000000000,0,0,0,0,5583,5130,0,124,1006,0.143675128441645,0.000931170536500
36103159700,103,159700,37520000.000000000000000,0,0,0,0,0,0.771505376344086,0.015681003584229,0.108870967741935,0.156362007168459,0.140927510130572,0.012528473804100,0.038025350233489,0.522019334049409,7.361518497267760,71.263050000000007,6.037540932654000,404.640731127344907,0.000000000000000,0.062170547173462,363504.701569234544877,0.080438340735984,1.093091403592062,3505616.000000000000000,0.000000000000000,2372.634185434440042,2232,2221,1499,878,931,1358,2221,0.932125060956315,0.950446190606619,739,0.331093189964158,313,73,0.053755522827688,199,0.089599279603782,11,57,54,0.024193548387097,420,0.188172043010753,0.171282051282051,0.137265332251631,0.828394236969587,486.000000000000000,0.000000000000000,3505616.000000000000000,0.000000000000000,0,0,0,0,2232,1722,35,349,243,0.106658552979680,0.000374846738500
36103169701,103,169701,270280000.000000000000000,0,1,0,1,0,0.906049382716049,0.052222222222222,0.069506172839506,0.009135802469136,0.167618574621306,0.003202049311559,0.076923076923077,0.223614592035645,7.011850546448090,70.509900000000002,3.793383067151643,336.612713100439805,0.000000000000000,0.000000000000000,196279.277374795667129,0.242140090211223,0.170501350666322,25332009.000000000000000,7080506.000000000000000,2372.634185434440042,8100,8054,5863,3123,3591,4425,8054,0.670573981590154,1.132685643254957,1053,0.130000000000000,1350,200,0.045197740112994,810,0.100571144772784,10,451,345,0.042592592592593,1576,0.194567901234568,0.183589743589744,0.118816625289670,0.165534780356656,803.000000000000000,0.000000000000000,25332009.000000000000000,7080506.000000000000000,0,0,0,0,8100,7339,423,74,563,0.296213969661795,0.003466448895500
36103169703,103,169703,87280000.000000000000000,0,1,0,0,0,0.920728441349759,0.003213711837172,0.002142474558115,0.047134440278522,0.189989235737352,0.019305019305019,0.057642487046632,0.264800000000000,6.932283907103820,70.319630000000004,3.929065942764282,360.426884200000018,0.000000000000000,0.001998066324651,166772.575043704884592,0.000000000000000,0.307621505371144,8275934.000000000000000,5735168.000000000000000,2372.634185434440042,1867,1858,1544,777,1250,867,1867,0.647012660279725,1.302266609005476,148,0.079271558650241,353,40,0.046136101499423,215,0.115158007498661,15,89,75,0.040171397964649,519,0.277986073915372,0.205128205128205,0.116625467815095,0.047571943509885,331.000000000000000,0.000000000000000,8275934.000000000000000,5735168.000000000000000,0,0,0,0,1867,1719,6,88,4,0.188950003575295,0.001498793952500
36103169705,103,169705,162200000.000000000000000,0,1,0,0,0,0.577082374597331,0.132075471698113,0.280717901518638,0.041877588587207,0.144794188861985,0.000000000000000,0.154084158415842,0.264984227129338,6.860293989071040,69.538280000000000,3.971848764706615,321.421825100702335,0.000000000000000,0.003131762568251,335490.217208362417296,0.000000000000000,0.571298405399856,15075273.000000000000000,0.000000000000000,2372.634185434440042,2173,2065,1616,803,951,1111,2065,1.150895269963469,1.280889702264820,992,0.456511734928670,299,96,0.086408640864086,260,0.125907990314770,0,249,172,0.079153244362632,544,0.250345144960884,0.173333333333333,0.115309367531665,0.039386713845266,252.000000000000000,0.000000000000000,15075273.000000000000000,0.000000000000000,0,0,0,0,2173,1254,287,91,610,0.230258693246037,0.001612165457000
